location,company,Data,Pay,
서울," (주)파리크라상 스트릿 스퀘어점",시간협의,"시급8,720",06/25
인천," 크라운호프 삼산점",16:00~23:00,"시급9,000",8분전
경기," 크라운호프 배곧신도시점",시간협의,"시급10,000",4시간전
울산," 크라운호프 울산매곡점",17:00~02:00,"시급9,000",4시간전
서울," 제이디스포츠패션코리아 동탄센터포인트몰",14:30~22:00,"시급9,040",06/25
서울," 크라운호프 발산마곡점",19:30~02:30,"시급10,000",5시간전
서울," 제이디스포츠패션코리아 동탄센터포인트몰",14:30~22:00,"시급9,040",06/25
울산," 크라운호프 울산송정",시간협의,"시급8,720",5시간전
경기," 크라운호프 곡반정점",시간협의,"시급9,000",10분전
충남," 크라운호프 쌍용로데오점",19:00~22:00,"시급9,000",11분전
광주," 크라운호프 광주운암점",20:00~03:00,"시급8,720",36분전
경기," 크라운호프 관양점",19:00~23:00,"시급9,500",48분전
경기," 크라운호프 관양점",19:00~23:00,"시급9,500",49분전
전북," 크라운호프 전주만성점",시간협의,"시급9,000",58분전
인천," 크라운호프 인천예술회관점",19:00~23:00,"시급9,000",1시간전
대구," 크라운호프 대구용산",21:00~04:00,"시급9,000",2시간전
인천," 공화춘 인천터미널점",10:00~21:00,"월급2,200,000",6시간전
경기," 크라운호프 수원성대점",19:00~24:00,"시급9,000",7시간전
서울," 파리크라상 라그릴리아 여의도 파크원",시간협의,"시급8,720",06/19
울산," 크라운호프 울산천상",19:00~02:00,"시급9,000",6시간전
서울," 파리크라상 라그릴리아 여의도 파크원",시간협의,"시급8,720",06/19
인천," 크라운호프 인하대역",19:00~23:00,"시급8,720",6시간전
서울," 파리크라상 피그인더가든",14:00~21:30,"시급8,720",06/13
경남," 크라운호프 김해삼계점",시간협의,"시급10,000",5시간전
충남," 크라운호프 아산탕정점",17:00~03:00,"월급2,500,000",5시간전
광주," 크라운호프 광주상무점",20:00~05:00,"월급1,710,000",5시간전
광주," 크라운호프 광주운암점",20:00~03:00,"시급8,720",6시간전
인천," 크라운호프 인천도화점",16:00~22:00,"시급10,000",6시간전
경기," 크라운호프 행신점",19:00~24:00,"시급9,000",6시간전
경남," 크라운호프 창원봉곡점",19:30~23:30,"시급9,000",6시간전
경남," 크라운호프 창원봉곡점",20:00~24:00,"시급9,000",6시간전
부산," 크라운호프 부산동아대",18:00~04:00,"월급2,300,000",6시간전
경기," 공화춘 일산점",11:00~22:00,"월급2,300,000",7시간전
경기," 공화춘 일산점",10:00~22:00,"월급2,600,000",7시간전
광주," 제이디스포츠패션코리아 광주충장로점(직",14:30~22:00,"시급9,040",06/24
부산," 크라운호프 부산개금점",시간협의,"시급8,720",6시간전
경기," 공화춘 판교점",09:00~21:00,"월급2,900,000",7시간전
전북," 크라운호프 전주삼천점",시간협의,"월급2,300,000",5시간전
서울," 크라운호프 발산마곡점",19:30~02:30,"시급10,000",5시간전
서울," 슈펜 영등포 (타임스퀘어)",13:00~22:00,"월급1,922,480",17시간전
인천," 크라운호프 인천동양",19:00~00:30,"시급9,000",7시간전
전북," 크라운호프 전주삼천점",시간협의,"월급2,300,000",7시간전
경기," 크라운호프 화성병정점",16:30~00:30,"시급11,000",7시간전
경기," 크라운호프 삼송역점",18:00~23:00,"시급10,000",7시간전
서울," 크라운호프 발산마곡점",20:00~00:30,"시급10,000",5시간전
서울," 크라운호프 발산마곡점",20:00~00:30,"시급10,000",5시간전
경기," 슈펜 평촌 (뉴코아아울렛)",13:00~22:00,"월급1,922,480",17시간전
경기," 크라운호프 관양점",18:30~23:30,"시급9,500",6시간전
경북," 크라운호프 구미문성점",18:00~00:00,"시급8,720",6시간전
경기," 공화춘 판교점",10:00~21:00,"월급2,700,000",7시간전
전북," 크라운호프 전주삼천점",시간협의,"월급2,300,000",7시간전
서울," 슈펜 홍대",13:00~22:00,"월급1,922,480",17시간전
경북," 크라운호프 구미문성점",18:00~00:00,"월급2,000,000",6시간전
전남," 슈펜 순천 (NC백화점)",12:00~21:00,"월급1,922,480",2시간전
인천," 크라운호프 인하대역",19:30~22:30,"시급8,720",7시간전
부산," 슈펜 해운대 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
부산," 슈펜 해운대 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
부산," 크라운호프 부산동래직영점",21:00~23:00,"시급8,720",6시간전
경기," 원조부안집 판교점",15:00~24:00,"월급2,700,000",4시간전
서울," 슈펜 구로 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
경기," 슈펜 고잔 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 홍대",13:00~22:00,"월급1,922,480",17시간전
충남," 길동우동 서산점",시간협의,"월급2,400,000",7시간전
대전," 청담이상 대흥점",16:00~02:00,"월급2,800,000",06/15
경기," 슈펜 구로 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
경남," 청담이상 창원상남점",20:00~01:00,"시급9,500",06/15
경남," 청담이상 창원상남점",20:00~01:00,"시급9,500",06/15
경기," 길동우동 월곶점",시간협의,"월급2,600,000",2시간전
광주," 크라운호프 광주상무점",20:00~01:00,"시급9,000",5시간전
서울," 슈펜 영등포 (타임스퀘어)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강남역 2호",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강서 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강서 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강남역 2호",13:00~22:00,"월급1,922,480",17시간전
경기," 슈펜 야탑 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
경기," 슈펜 야탑 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 송파 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
경기," 슈펜 송파 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
부산," 슈펜 서면 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강남역 1호 (점프밀라노)",13:00~22:00,"월급1,922,480",17시간전
대전," 청담이상 대흥점",16:00~02:00,"월급2,800,000",06/15
경기," 슈펜 평촌 (뉴코아아울렛)",13:00~22:00,"월급1,922,480",17시간전
강원," 청담이상 강릉교동점",19:00~02:00,"시급9,000",6시간전
강원," 청담이상 강릉교동점",19:00~02:00,"시급9,500",6시간전
강원," 청담이상 강릉교동점",07:00~02:00,"시급9,500",7시간전
강원," 청담이상 강릉교동점",19:00~02:00,"시급9,500",06/26
서울," 길동우동 길동점",시간협의,"월급2,500,000",6시간전
서울," 슈펜 청량리 (롯데백화점)",13:00~22:00,"월급1,922,480",17시간전
충남," 길동우동 서산점",시간협의,"월급2,400,000",7시간전
서울," 슈펜 청량리 (롯데백화점)",13:00~22:00,"월급1,922,480",17시간전
부산," 슈펜 서면 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 천호 (2001아울렛)",13:00~22:00,"월급1,922,480",17시간전
충남," 청담이상 논산내동점",16:00~02:00,"월급2,300,000",06/25
충북," 제이디스포츠패션코리아 청주성안점(직)",10:00~20:00,"월급1,822,480",06/24
인천," 슈펜 부천 (뉴코아아울렛)",13:00~22:00,"월급1,922,480",17시간전
경기," 슈펜 부천 (뉴코아아울렛)",13:00~22:00,"월급1,922,480",17시간전
대구," 슈펜 동성로",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 강남역 1호 (점프밀라노)",13:00~22:00,"월급1,922,480",17시간전
서울," 길동우동 사가정점",시간협의,"월급2,500,000",06/12
경기," 청담이상 의정부민락점",16:00~02:00,"월급2,500,000",06/15
충남," 길동우동 서산점",시간협의,"월급2,400,000",7시간전
서울," 청담이상 신도림점",18:00~23:00,"시급9,500",06/19
충남," 길동우동 서산점",시간협의,"월급2,400,000",7시간전
강원," 청담이상 강릉교동점",19:00~02:00,"시급9,000",06/18
경기," 슈펜 고잔 (NC백화점)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 천호 (2001아울렛)",13:00~22:00,"월급1,922,480",17시간전
서울," 슈펜 가산 (마리오아울렛)",13:00~22:00,"월급1,922,480",17시간전
대구," 슈펜 동성로",13:00~22:00,"월급1,922,480",17시간전
서울," 길동우동 신길점",10:00~22:00,"월급2,500,000",06/18
경기," 길동우동 월곶점",시간협의,"월급2,600,000",06/24
경기," 청담이상 의정부민락점",16:00~02:00,"월급2,500,000",06/15
서울," 슈펜 가산 (마리오아울렛)",13:00~22:00,"월급1,922,480",17시간전
서울," 이자녹스/비욘드/네이처컬렉션 NC 방",시간협의,"월급1,900,000",06/26
서울," 길동우동 사가정점",시간협의,"월급2,500,000",06/12
서울," 슈펜 용산 (아이파크몰)",13:00~22:00,"월급1,922,480",17시간전
경기," 길동우동 월곶점",16:30~22:30,"월급1,400,000",06/24
서울," 슈펜 용산 (아이파크몰)",13:00~22:00,"월급1,922,480",17시간전
경기," 길동우동 고등점",시간협의,"월급2,450,000",06/20
서울," 길동우동 사가정점",시간협의,"월급2,500,000",06/12
경기," 길동우동 고등점",시간협의,"월급2,450,000",06/20
경기," 청담이상 의정부민락점",16:00~02:00,"월급2,500,000",06/15
경기," 길동우동 다산지금점",시간협의,"월급2,700,000",06/12
서울," 이자녹스/비욘드/네이처컬렉션 NC 신",13:00~22:00,"월급1,900,000",56분전
서울," 이자녹스/비욘드/네이처컬렉션 NC 방",시간협의,"시급8,720",4시간전
강원," 이자녹스/비욘드/네이처컬렉션 이마트",시간협의,"월급1,822,480",8시간전
경기," 길동우동 고등점",시간협의,"월급2,450,000",06/20
경기," 길동우동 고등점",시간협의,"월급2,450,000",06/20
경기," 길동우동 다산지금점",시간협의,"월급2,700,000",06/12
경기," 청담이상 의정부민락점",16:00~02:00,"월급2,500,000",06/15
경기," 길동우동 다산지금점",시간협의,"월급2,700,000",06/12
서울," 길동우동 길동점",09:00~18:00,"연봉28,000,000",06/20
경기," 길동우동 다산지금점",시간협의,"월급2,700,000",06/12
서울," 길동우동 마곡점",시간협의,"월급2,600,000",06/18
서울," 이자녹스/비욘드/네이처컬렉션 NC 신",10:00~16:00,"시급8,720",1시간전
서울," 길동우동 길동점",12:00~12:00,"월급2,500,000",06/12
서울," 길동우동 신길점",10:00~22:00,"월급2,500,000",06/18
서울," 길동우동 마곡점",시간협의,"월급2,600,000",06/18
서울," 길동우동 길동점",12:00~12:00,"월급2,500,000",06/12
부산," 자라리테일코리아",시간협의,"연봉24,000,000",6시간전
서울," 길동우동 경희대점",시간협의,"월급2,500,000",06/12
서울," 이자녹스/비욘드/네이처컬렉션 NC 방",시간협의,"시급8,720",06/24
서울," 길동우동 경희대점",시간협의,"시급10,000",06/14
서울," 자라리테일코리아",시간협의,"연봉24,000,000",1시간전
서울," 길동우동 길동점",12:00~12:00,"월급2,500,000",06/12
서울," 자라리테일코리아",시간협의,"연봉24,000,000",2시간전
서울," 자라홈코리아",시간협의,"연봉24,000,000",2시간전
서울," 길동우동 마곡점",시간협의,"월급2,600,000",06/18
경기," 마시모듀띠코리아",시간협의,"연봉24,000,000",8시간전
서울," 길동우동 경희대점",시간협의,"월급2,500,000",06/12
인천," 자라리테일코리아",시간협의,"연봉24,000,000",7시간전
서울," 길동우동 경희대점",시간협의,"시급10,000",06/14
서울," 길동우동 신길점",10:00~22:00,"월급2,500,000",06/18
경기," 자라리테일코리아",시간협의,"시급11,370",8시간전
서울," 자라리테일코리아",시간협의,"연봉24,000,000",8시간전
광주," 자라리테일코리아",시간협의,"시급11,370",06/18
서울," 자라리테일코리아",시간협의,"연봉24,000,000",7시간전
서울," 마시모두띠코리아",시간협의,"연봉24,000,000",8시간전
경기," 마시모두띠",시간협의,"연봉24,000,000",8시간전
대구," 자라리테일코리아",시간협의,"연봉24,000,000",4시간전
서울," 마시모두띠코리아",시간협의,"연봉24,000,000",06/20
경기," 자라리테일코리아",시간협의,"연봉24,000,000",06/22
경기," 마시모두띠코리아",시간협의,"연봉24,000,000",7시간전
서울," 박앤박 쭈블링 송파점",시간협의,"월급2,750,000",06/12
